"data";"valor"
"01/12/2001";"55337,09"
"01/01/2002";"61318,47"
"01/02/2002";"53527,05"
"01/03/2002";"51968,84"
"01/04/2002";"54942,66"
"01/05/2002";"63641,12"
"01/06/2002";"78946,08"
"01/07/2002";"114163,67"
"01/08/2002";"96164,80"
"01/09/2002";"151963,39"
"01/10/2002";"136534,94"
"01/11/2002";"134708,86"
"01/12/2002";"124734,69"
"01/01/2003";"123090,86"
"01/02/2003";"130342,41"
"01/03/2003";"115413,70"
"01/04/2003";"86184,04"
"01/05/2003";"91952,94"
"01/06/2003";"86317,51"
"01/07/2003";"93684,67"
"01/08/2003";"98798,48"
"01/09/2003";"96210,25"
"01/10/2003";"94322,77"
"01/11/2003";"100064,08"
"01/12/2003";"97687,20"
"01/01/2004";"100992,08"
"01/02/2004";"99701,47"
"01/03/2004";"96866,46"
"01/04/2004";"100217,25"
"01/05/2004";"111657,57"
"01/06/2004";"111931,27"
"01/07/2004";"107191,75"
"01/08/2004";"102767,39"
"01/09/2004";"97779,99"
"01/10/2004";"100055,68"
"01/11/2004";"94351,80"
"01/12/2004";"89324,92"
"01/01/2005";"87825,75"
"01/02/2005";"85381,06"
"01/03/2005";"88435,67"
"01/04/2005";"83277,52"
"01/05/2005";"77848,53"
"01/06/2005";"74163,12"
"01/07/2005";"76424,54"
"01/08/2005";"75495,54"
"01/09/2005";"69230,15"
"01/10/2005";"71655,71"
"01/11/2005";"69278,71"
"01/12/2005";"72300,94"
"01/01/2006";"70463,96"
"01/02/2006";"69683,88"
"01/03/2006";"70779,71"
"01/04/2006";"70564,09"
"01/05/2006";"73345,77"
"01/06/2006";"71567,32"
"01/07/2006";"71999,29"
"01/08/2006";"72398,07"
"01/09/2006";"72125,22"
"01/10/2006";"72352,70"
"01/11/2006";"70866,14"
"01/12/2006";"70944,65"
"01/01/2007";"72790,60"
"01/02/2007";"74328,08"
"01/03/2007";"78133,89"
"01/04/2007";"80487,26"
"01/05/2007";"88631,29"
"01/06/2007";"88773,95"
"01/07/2007";"91639,11"
"01/08/2007";"82069,28"
"01/09/2007";"92238,30"
"01/10/2007";"101170,17"
"01/11/2007";"92268,87"
"01/12/2007";"92519,86"
"01/01/2008";"88403,13"
"01/02/2008";"96042,00"
"01/03/2008";"85991,35"
"01/04/2008";"100684,04"
"01/05/2008";"111346,96"
"01/06/2008";"115867,54"
"01/07/2008";"119674,80"
"01/08/2008";"109893,03"
"01/09/2008";"66849,36"
"01/10/2008";"37640,37"
"01/11/2008";"-4211,30"
"01/12/2008";"-15471,50"
"01/01/2009";"-3828,47"
"01/02/2009";"-8443,63"
"01/03/2009";"-5502,95"
"01/04/2009";"17618,72"
"01/05/2009";"45180,85"
"01/06/2009";"49523,17"
"01/07/2009";"61915,56"
"01/08/2009";"60020,95"
"01/09/2009";"75284,72"
"01/10/2009";"80225,42"
"01/11/2009";"76399,09"
"01/12/2009";"79723,98"
"01/01/2010";"57634,31"
"01/02/2010";"69577,99"
"01/03/2010";"75446,57"
"01/04/2010";"84406,51"
"01/05/2010";"71827,87"
"01/06/2010";"73015,47"
"01/07/2010";"79240,07"
"01/08/2010";"80604,02"
"01/09/2010";"89633,52"
"01/10/2010";"86688,92"
"01/11/2010";"87017,78"
"01/12/2010";"97418,60"
"01/01/2011";"96483,71"
"01/02/2011";"98234,70"
"01/03/2011";"106291,61"
"01/04/2011";"114409,65"
"01/05/2011";"112666,52"
"01/06/2011";"118503,23"
"01/07/2011";"116453,06"
"01/08/2011";"104688,74"
"01/09/2011";"33361,72"
"01/10/2011";"76865,06"
"01/11/2011";"43973,51"
"01/12/2011";"25108,68"
"01/01/2012";"62057,32"
"01/02/2012";"71071,95"
"01/03/2012";"39891,32"
"01/04/2012";"16029,33"
"01/05/2012";"-19224,79"
"01/06/2012";"-20655,01"
"01/07/2012";"-31993,74"
"01/08/2012";"-30003,94"
"01/09/2012";"-30499,78"
"01/10/2012";"-28073,97"
"01/11/2012";"-53723,73"
"01/12/2012";"-33282,79"
"01/01/2013";"-12581,15"
"01/02/2013";"-5991,90"
"01/03/2013";"-18191,64"
"01/04/2013";"-17049,00"
"01/05/2013";"-48136,34"
"01/06/2013";"-66143,24"
"01/07/2013";"-92323,65"
"01/08/2013";"-113944,08"
"01/09/2013";"-76363,28"
"01/10/2013";"-68554,25"
"01/11/2013";"-104775,69"
"01/12/2013";"-106950,09"
"01/01/2014";"-129642,71"
"01/02/2014";"-104136,22"
"01/03/2014";"-81593,71"
"01/04/2014";"-75711,24"
"01/05/2014";"-77600,11"
"01/06/2014";"-68668,34"
"01/07/2014";"-83444,59"
